,Unnamed: 0,gentrifying_pct_chg_income_homeval_educ,gentrifying_pct_chg_income_homeval,gentrifying_pct_chg_homeval,key,Average_Word_Length,Average_Wordlength,Proportion_Words_Longer_Than_Five,Average_Readability_Score,Average_Syllables_Per_Word
196,196,1,1,1,2017_28083,4.430623293,4.430623293,0.232077007,70.10680851,1.320218501
602,602,1,1,1,2015_85345,4.307830245,4.307830245,0.21719735,64.74049767,1.299306865
6,6,1,1,1,2015_12958,5.019230769,5.019230769,0.288461538,88.02,1.326923077
400,400,1,1,1,2013_44135,4.308201261000001,4.308201261000001,0.232190055,53.48937158,1.293296607
551,551,1,1,1,2015_85201,4.320838299,4.320838299,0.22055632,64.70976455,1.301455313
634,634,1,1,1,2014_89104,4.278259276,4.278259276,0.21439060199999999,59.01781891,1.286648745
125,125,1,1,1,2017_15207,4.381638816000001,4.381638816000001,0.22465449,66.92778481,1.304605882
544,544,1,1,1,2013_85053,4.295514168,4.295514168,0.217160422,55.06643885,1.2903056640000001
394,394,1,1,1,2014_44132,4.334129268,4.334129268,0.219259051,64.2996875,1.278924482
654,654,1,1,1,2014_89115,4.268187268,4.268187268,0.21410259899999998,54.0248125,1.292414316
383,383,1,1,1,2015_44127,4.312335535,4.312335535,0.216334112,78.79285714,1.305534736
629,629,1,1,1,2014_89102,4.3029111769999995,4.3029111769999995,0.21040511399999998,63.135188600000006,1.2814166390000001
563,563,1,1,1,2017_85205,4.348144545,4.348144545,0.22371044399999998,67.14059245,1.3101413929999999
108,108,1,1,1,2015_15147,4.455485614,4.455485614,0.237533921,65.11628571,1.3313877379999999
34,34,1,1,1,2013_15067,4.306122449,4.306122449,0.22448979600000002,51.18,1.1836734690000001
220,220,1,1,1,2014_28205,4.345179224,4.345179224,0.225214412,59.94969697,1.294649058
155,155,1,1,1,2017_16502,4.095238095,4.095238095,0.206349206,92.53,1.19047619
187,187,1,1,1,2013_28081,4.4400045530000005,4.4400045530000005,0.24899812,61.6248,1.318490266
224,224,1,1,1,2014_28206,4.320788942,4.320788942,0.21863200000000002,59.2018931,1.29318528
39,39,1,1,1,2013_15068,4.27980889,4.27980889,0.203518895,53.05863014,1.2846946479999999
276,276,1,1,1,2013_29730,4.281743106,4.281743106,0.20977925100000003,66.38056604,1.279980992
470,470,1,1,1,2015_61801,4.458030248,4.458030248,0.22939589999999999,63.89720745,1.312246733
14,14,1,1,1,2013_15025,4.3240908860000005,4.3240908860000005,0.21805482399999998,5.556842105,1.300117969
525,525,1,1,1,2014_85037,4.255973139,4.255973139,0.21209911399999998,62.90815287,1.285019964
280,280,1,1,1,2017_29730,4.353329958,4.353329958,0.2219176,67.07477723,1.30336566
332,332,1,1,1,2014_44106,4.421956405,4.421956405,0.24059477699999998,59.37706116,1.326038372
31,31,1,1,1,2013_15063,4.345087433,4.345087433,0.22212119,76.36285714,1.3238909840000002
707,707,1,1,1,2016_95966,4.401745864,4.401745864,0.23301492399999998,24.66485714,1.341920115
581,581,1,1,1,2014_85303,4.257090241,4.257090241,0.21308849800000002,59.74614525,1.293598392
554,554,1,1,1,2013_85203,4.321090031000001,4.321090031000001,0.221944456,55.72022222,1.304969771
457,457,1,1,1,2014_53713,4.369731624,4.369731624,0.23715138100000002,46.27459596,1.313096332
571,571,1,1,1,2014_85281,4.319381609,4.319381609,0.22157061399999997,62.09758891,1.2976993000000001
615,615,1,1,1,2014_85705,4.451181102,4.451181102,0.350393701,78.975,1.27992126
512,512,1,1,1,2016_85031,4.31286381,4.31286381,0.21719666399999998,70.59914894,1.302355002
369,369,1,1,1,2016_44120,4.399297701,4.399297701,0.23881709199999998,63.30498645,1.3212673590000001
203,203,1,1,1,2015_28112,4.3394026189999995,4.3394026189999995,0.229644026,35.885,1.330912439
133,133,1,1,1,2015_15212,4.358342605,4.358342605,0.229796726,56.61699194,1.307224936
414,414,1,1,1,2013_44144,4.318538546,4.318538546,0.21960276399999998,42.52836879,1.2964624359999999
472,472,1,1,1,2017_61801,4.43153696,4.43153696,0.237463495,67.36125874,1.328519573
546,546,1,1,1,2015_85053,4.328223624,4.328223624,0.220064375,64.51608917,1.300584822
5,5,1,1,1,2017_11433,4.350898078,4.350898078,0.239025303,75.83,1.317139823
465,465,1,1,1,2017_53714,4.393580505,4.393580505,0.23226409899999997,64.56962121,1.3207303259999998
273,273,1,1,1,2013_29720,4.419117647,4.419117647,0.272058824,68.3,1.319852941
272,272,1,1,1,2017_29432,4.307894737,4.307894737,0.142631579,89.41,1.235263158
24,24,1,1,1,2017_15035,4.357234274,4.357234274,0.235511153,58.53521739,1.334269674
124,124,1,1,1,2016_15207,4.346683291000001,4.346683291000001,0.232471045,57.76509434,1.3084989059999999
129,129,1,1,1,2016_15210,4.377569445,4.377569445,0.230253846,61.82710407,1.314476351
255,255,1,1,1,2014_28217,4.314417205,4.314417205,0.22106629100000003,56.85909415,1.29591454
247,247,1,1,1,2016_28215,4.338693475,4.338693475,0.218785619,69.54438944,1.303075192
25,25,1,1,1,2013_15045,4.547247024,4.547247024,0.196800595,80.345,1.31547619
618,618,1,1,1,2014_89015,4.257669165,4.257669165,0.213089928,59.35570307,1.285656573
445,445,1,1,1,2013_44320,4.395282007,4.395282007,0.22575476100000003,60.055,1.305888565
2,2,1,1,1,2017_15240,4.68192894,4.68192894,0.279002259,51.23071429,1.398639371
229,229,1,1,1,2014_28208,4.348195723,4.348195723,0.23774602600000003,57.32311994,1.30488224
206,206,1,1,1,2013_28120,4.334375521,4.334375521,0.234493332,52.121612899999995,1.300399377
358,358,1,1,1,2015_44117,4.2723681330000005,4.2723681330000005,0.206861278,74.22058824,1.2899956320000001
79,79,1,1,1,2013_15132,4.078500092,4.078500092,0.189474007,41.581,1.245306621
238,238,1,1,1,2013_28213,4.353117582,4.353117582,0.223313508,54.545825,1.297508429
173,173,1,1,1,2014_28034,4.402825622,4.402825622,0.247824679,69.72047619,1.30417409
370,370,1,1,1,2017_44120,4.492051958,4.492051958,0.250466568,64.72765625,1.34884155
68,68,1,1,1,2015_15120,4.328670211,4.328670211,0.227776371,58.71221282,1.2996899240000002
221,221,1,1,1,2015_28205,4.37680436,4.37680436,0.22812657100000003,65.10516606,1.303001979
491,491,1,1,1,2013_85008,4.268145345,4.268145345,0.221445355,49.51200185,1.2907020340000002
416,416,1,1,1,2015_44144,4.336690954,4.336690954,0.21945593,62.79234667,1.29279974
565,565,1,1,1,2013_85208,4.276454497,4.276454497,0.215580181,62.66413043,1.29051324
595,595,1,1,1,2013_85335,4.297290566,4.297290566,0.216859721,53.34628571,1.299199975
222,222,1,1,1,2016_28205,4.380655245,4.380655245,0.22818719,67.24759458,1.304675692
591,591,1,1,1,2014_85323,4.259780911,4.259780911,0.21436113,59.58510759,1.294514694
111,111,1,1,1,2013_15148,4.28575323,4.28575323,0.216751584,33.34428571,1.276097489
608,608,1,1,1,2014_85353,4.269221342,4.269221342,0.210722973,64.72053968,1.287911512
145,145,1,1,1,2015_15223,4.373615244,4.373615244,0.225668024,53.64787234,1.316295956
211,211,1,1,1,2013_28127,4.381049394,4.381049394,0.24191663300000002,66.155,1.353841504
352,352,1,1,1,2014_44112,4.275203982,4.275203982,0.216905126,39.164375,1.2972586720000001
697,697,1,1,1,2016_92703,4.247811712,4.247811712,0.223728652,73.545,1.311878598
702,702,1,1,1,2016_93612,4.348174566,4.348174566,0.242805402,56.52615385,1.3398968
517,517,1,1,1,2016_85033,4.315165588,4.315165588,0.216575656,68.3770777,1.301340555
153,153,1,1,1,2015_16502,4.190747648,4.190747648,0.186678817,92.22,1.2086547429999999
639,639,1,1,1,2014_89106,4.275478958,4.275478958,0.21902860899999999,58.00371668,1.295459855
533,533,1,1,1,2017_85041,4.350627454,4.350627454,0.22275106600000003,67.67747489,1.309906325
557,557,1,1,1,2016_85203,4.3427592960000005,4.3427592960000005,0.22253047,66.25602367,1.31424119
188,188,1,1,1,2014_28081,4.526614961,4.526614961,0.247637178,69.71269231,1.329817643
245,245,1,1,1,2014_28215,4.299848627,4.299848627,0.214839967,62.73314815,1.2974689240000001
579,579,1,1,1,2017_85301,4.354616807,4.354616807,0.223338395,66.40959531,1.309825643
310,310,1,1,1,2013_44092,4.292094525,4.292094525,0.219795842,60.21555556,1.295626326
254,254,1,1,1,2013_28217,4.286683903,4.286683903,0.218699644,46.00365657,1.285845097
490,490,1,1,1,2017_85007,4.441261821,4.441261821,0.229193598,63.45417089,1.313914055
427,427,1,1,1,2016_44203,4.2829914769999995,4.2829914769999995,0.22124345899999998,56.36542857,1.289901123
103,103,1,1,1,2015_15145,4.273688618,4.273688618,0.20306884600000003,66.87235294,1.280173679
521,521,1,1,1,2015_85035,4.2607204030000005,4.2607204030000005,0.210242553,67.1853322,1.28555534
606,606,1,1,1,2017_85350,3.821428571,3.821428571,0.107142857,99.57,1.107142857
244,244,1,1,1,2013_28215,4.323149774,4.323149774,0.21414551,50.27195652,1.295849337
154,154,1,1,1,2016_16502,4.0625695219999995,4.0625695219999995,0.18800064100000002,88.756,1.233207771
587,587,1,1,1,2015_85307,4.313709513,4.313709513,0.216810091,51.57753846,1.304981557
51,51,1,1,1,2015_15104,4.411877431000001,4.411877431000001,0.235005913,42.96864407,1.309940382
655,655,1,1,1,2015_89115,4.266912877,4.266912877,0.211875462,57.90457527,1.2966205659999999
499,499,1,1,1,2016_85015,4.315590845,4.315590845,0.2195679,65.96671269,1.302319627
483,483,1,1,1,2015_61866,4.307247015,4.307247015,0.213213945,63.01649123,1.293506748
