gentrifying_pct_chg_income_homeval_educ,gentrifying_pct_chg_income_homeval,gentrifying_pct_chg_homeval,restaurants,food,shopping,beauty & spas,home services,automotive,american (traditional),nightlife,local services,bars,event planning & services,pizza,health & medical,fast food,active life,sandwiches
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,0,0,7,2,2,0,0,0,2,4,0,4,0,2,0,0,0,1
0,1,1,9,2,2,0,0,1,2,2,0,2,0,3,0,0,0,1
0,0,0,8,2,3,0,0,1,2,3,1,3,0,3,0,0,0,2
0,1,1,11,2,4,0,0,0,4,4,0,4,1,3,0,0,0,3
0,0,0,14,4,6,0,1,2,4,6,2,6,1,4,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,6,2,0,0,1,1,2,2,0,2,0,1,0,0,0,1
0,0,1,10,1,1,0,0,1,2,2,0,2,1,3,2,0,0,1
0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
0,0,0,3,1,2,0,0,0,0,1,0,1,0,2,0,1,0,1
0,0,0,4,1,1,0,0,0,0,0,0,0,0,3,0,1,0,1
0,0,1,3,1,1,0,1,0,0,1,0,1,0,2,0,1,0,1
0,0,0,0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0
0,0,0,2,2,1,0,1,1,1,1,1,1,0,1,0,0,0,1
0,0,0,3,3,1,0,1,1,1,1,1,1,0,1,0,0,0,2
0,0,0,2,1,2,0,1,2,0,0,1,0,0,1,0,0,0,2
1,1,1,3,3,0,0,1,2,1,1,1,1,0,1,0,0,0,2
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,1,3,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0
0,0,0,4,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0
0,0,0,3,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
0,0,1,5,2,1,1,1,2,1,2,1,2,0,2,0,0,1,1
1,1,1,4,2,0,0,0,0,1,0,0,0,0,1,0,1,0,1
0,0,0,3,2,1,0,0,0,0,0,0,0,0,1,0,1,0,2
0,0,0,7,3,0,2,0,0,1,1,0,1,0,3,1,1,0,1
1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,1,1,17,10,3,2,2,2,3,3,4,2,1,2,0,2,0,2
0,0,1,26,8,2,3,2,4,6,4,2,3,3,6,0,0,0,4
0,0,0,32,12,7,4,5,2,6,5,2,5,1,7,1,3,3,4
0,0,0,35,16,7,5,4,6,8,6,5,5,2,7,1,3,3,3
0,1,1,38,14,3,7,5,1,8,5,4,5,1,9,1,3,2,5
0,0,0,11,5,9,1,1,1,5,2,0,2,1,0,1,4,0,2
0,0,0,11,7,11,3,2,1,6,3,1,3,1,0,1,3,0,1
0,0,0,16,7,6,3,1,0,7,5,1,5,1,0,1,5,0,4
0,0,1,16,8,8,3,2,0,7,5,2,5,1,0,1,5,3,3
0,0,1,15,9,9,3,2,0,7,3,1,3,1,1,2,5,3,3
0,0,0,2,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1
0,0,0,2,1,0,0,0,0,0,2,0,2,0,0,0,0,0,1
1,1,1,6,3,1,1,0,1,0,3,0,3,0,1,2,0,1,2
0,0,1,7,4,0,0,0,0,1,4,0,3,1,1,0,0,2,3
0,0,0,6,5,1,0,0,0,2,4,0,3,1,1,1,0,1,3
0,0,0,18,8,2,2,4,6,4,6,1,6,1,3,1,2,1,2
0,1,1,29,15,11,4,9,8,7,9,5,9,2,9,1,5,3,4
0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0
0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0
0,0,1,0,0,2,0,2,1,0,0,1,0,0,0,0,0,0,0
0,1,1,1,1,2,0,1,0,0,0,1,0,0,0,0,1,0,0
0,0,0,2,2,0,0,2,0,1,0,0,0,0,0,0,2,0,0
0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
0,0,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0,1,1,33,15,24,3,2,6,10,11,3,9,4,3,1,5,1,2
0,0,0,38,19,28,8,2,5,13,13,1,12,5,5,3,3,4,2
