,Unnamed: 0,gentrifying_pct_chg_income_homeval_educ,gentrifying_pct_chg_income_homeval,gentrifying_pct_chg_homeval,key,restaurants,food,shopping,beauty & spas,home services,automotive,american (traditional),nightlife,local services,bars,event planning & services,pizza,health & medical,fast food,active life,sandwiches
196,196,1,1,1,2017_28083,19,6,4,4,1,2,3,1,2,1,5,3,1,3,0,1
602,602,1,1,1,2015_85345,81,44,60,21,55,54,13,17,32,15,13,14,21,19,18,11
6,6,1,1,1,2015_12958,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
400,400,1,1,1,2013_44135,43,17,3,0,1,7,10,11,3,11,10,8,0,2,2,13
551,551,1,1,1,2015_85201,103,48,80,44,56,58,24,32,40,24,28,12,33,31,20,13
634,634,1,1,1,2014_89104,138,69,107,45,36,69,14,44,36,30,43,13,32,31,21,9
125,125,1,1,1,2017_15207,9,8,6,0,6,7,2,2,3,2,1,3,0,0,1,2
544,544,1,1,1,2013_85053,49,26,35,12,19,10,8,5,17,4,11,5,15,10,11,7
394,394,1,1,1,2014_44132,5,0,3,1,1,3,1,0,2,0,0,0,2,1,0,2
654,654,1,1,1,2014_89115,44,15,16,6,33,37,7,6,19,5,16,5,2,14,8,5
383,383,1,1,1,2015_44127,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
629,629,1,1,1,2014_89102,213,101,162,75,117,107,27,56,109,49,36,17,82,34,21,20
563,563,1,1,1,2017_85205,70,39,63,32,71,48,13,11,58,10,21,8,40,17,14,20
108,108,1,1,1,2015_15147,10,5,3,3,3,7,0,4,1,3,1,4,0,0,1,0
34,34,1,1,1,2013_15067,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
220,220,1,1,1,2014_28205,105,53,53,28,15,25,15,44,14,38,16,11,9,7,17,15
155,155,1,1,1,2017_16502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,187,1,1,1,2013_28081,7,1,3,0,0,2,1,0,0,0,2,1,0,1,0,0
224,224,1,1,1,2014_28206,20,7,5,2,9,10,5,14,12,9,3,0,0,2,3,1
39,39,1,1,1,2013_15068,17,10,3,2,2,2,3,3,4,2,1,2,0,2,0,2
276,276,1,1,1,2013_29730,13,1,2,0,0,4,4,1,0,1,6,1,0,3,1,2
470,470,1,1,1,2015_61801,63,41,23,9,14,7,7,7,11,4,19,7,11,11,13,7
14,14,1,1,1,2013_15025,6,2,0,0,1,1,2,2,0,2,0,1,0,0,0,1
525,525,1,1,1,2014_85037,22,12,14,11,4,9,2,1,4,1,1,3,27,9,2,5
280,280,1,1,1,2017_29730,21,7,9,1,6,12,4,4,3,4,13,1,0,4,3,2
332,332,1,1,1,2014_44106,72,35,10,4,3,3,7,28,2,27,20,8,6,6,8,10
31,31,1,1,1,2013_15063,4,2,0,0,0,0,1,0,0,0,0,1,0,1,0,1
707,707,1,1,1,2016_95966,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
581,581,1,1,1,2014_85303,12,7,5,3,9,10,0,4,8,3,1,2,2,3,0,1
554,554,1,1,1,2013_85203,32,21,22,15,21,16,3,3,12,3,5,5,17,5,6,4
457,457,1,1,1,2014_53713,40,20,15,1,22,18,13,13,14,9,14,3,4,9,6,5
571,571,1,1,1,2014_85281,296,158,174,60,133,115,51,98,96,82,69,36,32,38,74,62
615,615,1,1,1,2014_85705,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
512,512,1,1,1,2016_85031,36,13,14,5,7,6,3,2,2,2,0,4,7,5,4,1
369,369,1,1,1,2016_44120,29,12,8,4,5,6,4,4,5,3,1,5,0,1,5,3
203,203,1,1,1,2015_28112,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
133,133,1,1,1,2015_15212,67,31,7,4,7,3,14,27,5,25,19,14,1,3,9,9
414,414,1,1,1,2013_44144,26,11,14,3,1,1,11,6,2,6,4,4,1,5,0,2
472,472,1,1,1,2017_61801,57,30,18,6,16,6,7,7,8,5,16,7,10,9,11,9
546,546,1,1,1,2015_85053,53,25,56,19,34,9,8,7,24,6,17,7,21,12,11,9
5,5,1,1,1,2017_11433,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
465,465,1,1,1,2017_53714,15,8,11,3,9,7,2,5,7,4,4,2,3,0,8,0
273,273,1,1,1,2013_29720,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
272,272,1,1,1,2017_29432,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
24,24,1,1,1,2017_15035,3,3,0,0,1,2,1,1,1,1,0,1,0,0,0,2
124,124,1,1,1,2016_15207,8,8,4,0,5,7,2,2,3,2,2,3,0,0,2,1
129,129,1,1,1,2016_15210,23,9,2,3,10,6,1,0,5,0,1,6,1,1,3,1
255,255,1,1,1,2014_28217,87,34,37,13,35,42,16,15,22,12,45,4,4,14,9,12
247,247,1,1,1,2016_28215,32,7,8,5,5,6,3,0,3,0,2,7,3,10,3,4
25,25,1,1,1,2013_15045,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
618,618,1,1,1,2014_89015,83,43,53,28,23,35,13,11,24,9,16,10,27,27,20,11
445,445,1,1,1,2013_44320,8,1,1,2,0,0,0,1,2,1,1,2,0,0,0,2
2,2,1,1,1,2017_15240,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,229,1,1,1,2014_28208,64,37,28,10,11,13,16,15,12,12,24,4,10,16,7,8
206,206,1,1,1,2013_28120,8,4,0,3,0,0,3,1,0,1,0,0,0,1,0,0
358,358,1,1,1,2015_44117,5,1,1,0,0,1,0,0,1,0,0,0,0,2,1,1
79,79,1,1,1,2013_15132,9,2,1,1,1,3,1,1,1,1,1,3,0,1,0,0
238,238,1,1,1,2013_28213,40,21,18,15,8,13,5,2,3,2,8,5,3,7,3,6
173,173,1,1,1,2014_28034,6,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1
370,370,1,1,1,2017_44120,30,13,10,6,7,6,5,4,4,3,2,4,4,3,4,2
68,68,1,1,1,2015_15120,47,26,32,7,4,8,13,17,3,15,6,8,3,6,3,5
221,221,1,1,1,2015_28205,113,61,55,42,23,25,12,47,21,39,18,13,13,10,27,17
491,491,1,1,1,2013_85008,64,22,21,5,26,25,11,11,18,10,24,5,14,13,12,9
416,416,1,1,1,2015_44144,38,16,12,6,3,6,14,10,4,10,7,5,6,6,2,3
565,565,1,1,1,2013_85208,5,2,5,2,5,3,1,0,2,0,0,0,3,2,3,1
595,595,1,1,1,2013_85335,15,7,5,5,5,7,0,1,6,1,2,4,0,3,5,1
222,222,1,1,1,2016_28205,133,65,75,39,31,30,11,56,25,48,22,15,18,14,25,17
591,591,1,1,1,2014_85323,52,27,27,22,11,38,6,2,13,2,7,5,7,22,6,8
111,111,1,1,1,2013_15148,4,1,0,0,1,1,2,1,0,1,1,0,0,0,0,2
608,608,1,1,1,2014_85353,22,12,16,11,7,10,2,3,8,1,5,3,5,5,2,2
145,145,1,1,1,2015_15223,11,4,6,4,3,0,3,4,1,4,0,5,2,0,1,2
211,211,1,1,1,2013_28127,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
352,352,1,1,1,2014_44112,5,3,2,1,0,0,0,0,1,0,0,2,1,1,0,0
697,697,1,1,1,2016_92703,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
702,702,1,1,1,2016_93612,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
517,517,1,1,1,2016_85033,54,19,30,21,8,10,4,4,14,3,1,10,7,16,6,3
153,153,1,1,1,2015_16502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
639,639,1,1,1,2014_89106,42,29,92,14,18,9,2,3,13,1,5,2,46,13,4,7
533,533,1,1,1,2017_85041,32,18,14,18,11,22,0,1,8,1,6,2,8,11,4,4
557,557,1,1,1,2016_85203,44,26,37,18,54,27,3,3,32,3,6,6,44,12,10,8
188,188,1,1,1,2014_28081,8,2,2,0,1,0,2,1,0,1,2,2,0,0,0,0
245,245,1,1,1,2014_28215,22,3,3,5,5,5,4,0,4,0,2,6,2,7,4,4
579,579,1,1,1,2017_85301,107,46,67,37,75,74,7,28,36,23,15,17,21,19,7,17
310,310,1,1,1,2013_44092,14,1,4,1,4,5,2,4,2,4,2,3,0,1,2,1
254,254,1,1,1,2013_28217,79,29,34,10,21,27,13,12,16,10,35,4,5,13,9,11
490,490,1,1,1,2017_85007,34,20,14,7,20,13,3,6,19,5,12,3,6,5,13,6
427,427,1,1,1,2016_44203,5,3,0,0,2,1,1,1,1,1,1,1,0,0,1,1
103,103,1,1,1,2015_15145,6,4,0,0,1,0,0,1,1,1,1,4,1,0,0,1
521,521,1,1,1,2015_85035,43,15,14,5,16,12,13,7,8,6,7,3,8,12,2,5
606,606,1,1,1,2017_85350,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,244,1,1,1,2013_28215,16,1,2,2,2,1,2,0,4,0,0,4,0,2,3,0
154,154,1,1,1,2016_16502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
587,587,1,1,1,2015_85307,8,4,7,5,7,7,2,3,4,2,0,1,1,6,2,1
51,51,1,1,1,2015_15104,6,3,1,1,0,1,0,3,0,3,0,1,2,0,1,2
655,655,1,1,1,2015_89115,46,14,28,9,39,56,6,5,28,4,21,6,5,15,9,6
499,499,1,1,1,2016_85015,50,25,42,32,33,22,5,7,21,6,4,5,43,19,8,11
483,483,1,1,1,2015_61866,18,6,1,1,0,4,3,1,0,1,2,3,0,4,0,2
324,324,1,1,1,2016_44104,8,3,0,0,0,0,1,0,0,0,0,0,0,3,0,1
278,278,1,1,1,2015_29730,15,2,5,1,4,6,3,0,2,0,11,1,0,2,4,2
673,673,0,0,0,2013_89128,78,46,46,56,28,11,13,13,27,13,24,11,107,19,29,12
62,62,0,0,0,2014_15112,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
623,623,0,0,1,2013_89101,134,77,54,19,34,17,24,77,28,60,61,14,8,14,24,12
402,402,0,0,1,2015_44135,39,17,3,3,4,18,10,11,4,11,11,8,0,6,1,13
65,65,0,0,1,2017_15112,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
73,73,0,0,0,2015_15122,27,13,19,2,8,6,11,7,6,7,2,3,2,4,13,3
511,511,0,0,1,2015_85031,39,9,11,4,3,4,3,1,3,1,1,3,5,7,3,2
640,640,0,0,0,2015_89106,46,31,111,23,24,16,5,7,20,2,7,2,66,16,5,7
242,242,0,0,1,2017_28213,57,28,24,26,19,22,9,6,13,4,10,6,9,14,5,5
473,473,0,0,0,2013_61802,21,13,12,5,9,15,4,1,5,1,6,5,0,0,1,1
564,564,0,0,0,2017_85206,99,48,105,55,80,46,20,11,48,10,18,7,155,27,23,18
574,574,0,0,0,2017_85281,318,188,199,79,192,155,52,88,125,75,84,31,49,47,76,68
210,210,0,0,0,2017_28120,17,6,1,3,4,1,4,1,1,1,0,4,2,3,2,2
415,415,0,0,1,2014_44144,41,21,13,5,3,3,14,10,1,10,7,7,5,6,2,4
484,484,0,1,1,2016_61866,20,7,1,0,0,3,3,1,0,1,1,4,0,4,0,2
318,318,0,0,1,2015_44103,21,12,4,2,3,2,6,2,3,1,2,3,0,2,0,0
538,538,0,1,1,2017_85043,36,18,23,6,34,22,5,2,21,2,11,2,8,12,2,8
441,441,0,0,1,2014_44314,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
541,541,0,0,1,2015_85051,78,31,60,23,41,16,14,16,22,14,14,9,27,12,5,11
643,643,0,0,0,2013_89108,65,33,56,20,36,22,14,10,23,10,11,9,13,9,10,6
58,58,0,0,1,2015_15110,0,0,2,0,2,1,0,0,1,0,0,0,0,0,0,0
277,277,0,0,0,2014_29730,15,2,3,0,3,3,4,0,1,0,7,1,0,4,2,2
288,288,0,0,0,2016_34667,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
444,444,0,0,0,2017_44314,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,217,0,0,0,2016_28164,10,1,1,0,1,0,3,0,1,0,0,0,0,3,1,1
590,590,0,0,1,2013_85323,44,22,28,16,9,29,6,1,13,1,5,6,5,16,7,7
241,241,0,0,1,2016_28213,52,29,23,24,17,14,8,4,13,3,8,7,5,13,4,6
199,199,0,1,1,2015_28098,2,1,2,0,0,2,0,0,0,0,0,0,0,0,0,1
249,249,0,0,0,2013_28216,46,21,35,11,7,1,10,7,6,7,10,0,6,17,2,6
363,363,0,0,0,2015_44119,18,7,0,1,1,4,5,6,1,5,0,2,1,2,0,2
424,424,0,0,0,2013_44203,2,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0
625,625,0,1,1,2015_89101,177,109,81,28,63,28,32,98,53,81,86,15,18,16,35,30
664,664,0,0,0,2014_89121,141,69,59,50,33,59,26,27,33,26,27,21,38,30,12,18
263,263,0,0,0,2016_28501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
118,118,0,0,0,2015_15204,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0
501,501,0,0,1,2013_85021,49,22,27,12,40,25,8,9,26,8,16,5,14,7,6,5
437,437,0,0,0,2016_44310,34,9,10,3,1,8,9,8,2,8,3,8,3,4,1,3
622,622,0,1,1,2013_89032,57,24,32,22,23,16,9,9,24,7,7,7,18,12,7,5
504,504,0,0,0,2016_85021,52,26,29,18,61,41,8,10,36,8,16,6,41,10,10,6
373,373,0,0,0,2015_44123,18,5,1,3,2,1,3,7,2,7,1,5,1,2,1,1
291,291,0,0,0,2014_44035,56,12,8,5,5,5,26,13,1,12,7,6,2,10,4,9
228,228,0,0,1,2013_28208,59,30,21,4,9,11,16,15,10,12,19,4,6,16,5,7
18,18,0,0,0,2015_15034,4,1,1,0,0,0,0,0,0,0,0,3,0,1,0,1
393,393,0,0,1,2013_44132,2,0,3,0,1,1,0,0,1,0,0,0,0,0,0,1
706,706,0,0,0,2015_95966,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
371,371,0,0,1,2013_44123,13,3,0,0,1,2,2,6,0,6,1,4,1,0,0,1
684,684,0,0,1,2015_89156,13,10,9,4,8,7,1,3,2,3,0,2,1,3,3,2
460,460,0,0,0,2017_53713,41,23,26,5,35,28,13,13,15,11,14,4,3,9,9,6
1,1,0,0,0,2016_15240,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
508,508,0,0,0,2016_85023,45,30,47,17,48,49,6,5,19,3,23,3,19,13,6,7
406,406,0,0,0,2014_44137,14,7,4,1,1,1,3,1,1,1,4,2,0,4,1,1
455,455,0,0,0,2017_53703,245,134,74,35,38,9,38,121,16,116,55,21,16,12,21,33
378,378,0,0,0,2015_44125,28,9,4,4,7,4,8,6,3,6,3,4,5,5,1,2
147,147,0,0,0,2017_15223,13,5,7,3,4,2,4,3,1,3,1,4,0,0,1,0
543,543,0,0,0,2017_85051,79,37,70,27,43,26,13,16,23,14,14,8,25,12,7,12
223,223,0,0,0,2013_28206,12,2,4,2,5,6,2,12,9,7,6,0,0,1,2,0
641,641,0,0,0,2016_89106,44,28,107,16,26,14,5,4,24,1,5,2,69,17,6,7
420,420,0,0,1,2014_44146,25,8,12,5,6,22,9,7,1,7,6,2,2,6,3,5
11,11,0,1,1,2016_15003,11,2,4,0,0,0,4,4,0,4,1,3,0,0,0,3
227,227,0,0,1,2017_28206,25,15,15,4,16,15,6,18,21,11,13,1,2,3,6,2
141,141,0,0,0,2013_15221,20,10,1,4,2,5,1,3,1,3,0,5,3,2,2,5
588,588,0,0,1,2016_85307,10,4,6,4,10,6,2,4,5,2,1,1,2,7,4,1
462,462,0,0,0,2014_53714,12,6,8,3,1,9,1,2,4,2,3,1,3,0,6,0
21,21,0,0,0,2014_15035,2,2,1,0,1,1,1,1,1,1,0,1,0,0,0,1
492,492,0,1,1,2014_85008,67,30,22,8,41,41,11,14,21,12,28,5,19,11,12,9
27,27,0,0,1,2015_15045,3,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0
296,296,0,0,0,2014_44052,11,5,2,1,3,0,4,0,3,0,3,2,0,0,3,1
97,97,0,0,0,2014_15144,6,1,1,1,0,0,1,0,0,0,1,3,0,0,0,1
