,gentrifying_pct_chg_income_homeval_educ,gentrifying_pct_chg_income_homeval,gentrifying_pct_chg_homeval,restaurants,food,shopping,beauty & spas,home services,automotive,american (traditional),nightlife,local services,bars,event planning & services,pizza,health & medical,fast food,active life,sandwiches
465,1,1,1,15,8,11,3,9,7,2,5,7,4,4,2,3,0,8,0
25,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
517,1,1,1,54,19,30,21,8,10,4,4,14,3,1,10,7,16,6,3
615,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
544,1,1,1,49,26,35,12,19,10,8,5,17,4,11,5,15,10,11,7
276,1,1,1,13,1,2,0,0,4,4,1,0,1,6,1,0,3,1,2
224,1,1,1,20,7,5,2,9,10,5,14,12,9,3,0,0,2,3,1
591,1,1,1,52,27,27,22,11,38,6,2,13,2,7,5,7,22,6,8
619,0,1,1,91,45,62,31,34,37,16,10,31,9,18,11,33,28,24,14
471,0,1,1,58,32,21,11,10,5,7,10,12,7,19,6,9,10,10,7
139,0,1,1,1,1,1,1,2,0,0,0,0,0,1,0,0,0,1,0
595,1,1,1,15,7,5,5,5,7,0,1,6,1,2,4,0,3,5,1
611,0,1,1,5,5,6,2,8,6,2,0,4,0,3,0,2,1,1,1
14,1,1,1,6,2,0,0,1,1,2,2,0,2,0,1,0,0,0,1
79,1,1,1,9,2,1,1,1,3,1,1,1,1,1,3,0,1,0,0
379,0,1,1,28,10,8,4,10,3,9,6,6,6,2,6,5,4,3,5
624,0,1,1,167,102,77,25,52,25,33,95,44,77,70,16,17,16,33,21
565,1,1,1,5,2,5,2,5,3,1,0,2,0,0,0,3,2,3,1
154,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
445,1,1,1,8,1,1,2,0,0,0,1,2,1,1,2,0,0,0,2
571,1,1,1,296,158,174,60,133,115,51,98,96,82,69,36,32,38,74,62
238,1,1,1,40,21,18,15,8,13,5,2,3,2,8,5,3,7,3,6
247,1,1,1,32,7,8,5,5,6,3,0,3,0,2,7,3,10,3,4
11,0,1,1,11,2,4,0,0,0,4,4,0,4,1,3,0,0,0,3
512,1,1,1,36,13,14,5,7,6,3,2,2,2,0,4,7,5,4,1
625,0,1,1,177,109,81,28,63,28,32,98,53,81,86,15,18,16,35,30
484,0,1,1,20,7,1,0,0,3,3,1,0,1,1,4,0,4,0,2
629,1,1,1,213,101,162,75,117,107,27,56,109,49,36,17,82,34,21,20
639,1,1,1,42,29,92,14,18,9,2,3,13,1,5,2,46,13,4,7
244,1,1,1,16,1,2,2,2,1,2,0,4,0,0,4,0,2,3,0
188,1,1,1,8,2,2,0,1,0,2,1,0,1,2,2,0,0,0,0
108,1,1,1,10,5,3,3,3,7,0,4,1,3,1,4,0,0,1,0
470,1,1,1,63,41,23,9,14,7,7,7,11,4,19,7,11,11,13,7
532,0,1,1,27,17,17,15,11,15,0,1,8,1,5,1,10,8,3,4
265,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1,1,1,4,2,0,0,0,0,1,0,0,0,0,1,0,1,0,1
222,1,1,1,133,65,75,39,31,30,11,56,25,48,22,15,18,14,25,17
332,1,1,1,72,35,10,4,3,3,7,28,2,27,20,8,6,6,8,10
189,0,1,1,13,2,3,0,1,2,2,1,0,1,1,3,2,1,1,0
622,0,1,1,57,24,32,22,23,16,9,9,24,7,7,7,18,12,7,5
514,0,1,1,29,6,13,7,4,6,4,3,4,3,1,3,3,4,3,0
103,1,1,1,6,4,0,0,1,0,0,1,1,1,1,4,1,0,0,1
129,1,1,1,23,9,2,3,10,6,1,0,5,0,1,6,1,1,3,1
400,1,1,1,43,17,3,0,1,7,10,11,3,11,10,8,0,2,2,13
221,1,1,1,113,61,55,42,23,25,12,47,21,39,18,13,13,10,27,17
322,0,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1
82,0,1,1,17,5,3,0,2,4,0,2,1,2,2,8,0,2,2,1
546,1,1,1,53,25,56,19,34,9,8,7,24,6,17,7,21,12,11,9
456,0,1,1,37,18,19,2,17,18,12,12,8,9,14,3,2,7,6,5
579,1,1,1,107,46,67,37,75,74,7,28,36,23,15,17,21,19,7,17
66,0,1,1,33,15,24,3,2,6,10,11,3,9,4,3,1,5,1,2
211,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
654,1,1,1,44,15,16,6,33,37,7,6,19,5,16,5,2,14,8,5
507,0,1,1,48,29,42,16,43,49,5,7,16,5,21,3,13,13,7,7
173,1,1,1,6,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1
303,0,1,1,17,3,6,2,4,0,1,3,2,2,2,3,3,2,1,2
85,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
478,0,1,1,168,71,77,47,36,18,19,50,36,45,29,24,21,22,10,23
479,0,1,1,177,81,82,47,46,21,25,52,40,49,27,22,23,22,11,20
526,0,1,1,25,13,15,14,9,12,3,4,3,3,1,3,36,11,3,5
409,0,1,1,17,6,1,2,3,3,3,0,2,0,4,5,0,4,2,1
369,1,1,1,29,12,8,4,5,6,4,4,5,3,1,5,0,1,5,3
491,1,1,1,64,22,21,5,26,25,11,11,18,10,24,5,14,13,12,9
111,1,1,1,4,1,0,0,1,1,2,1,0,1,1,0,0,0,0,2
394,1,1,1,5,0,3,1,1,3,1,0,2,0,0,0,2,1,0,2
608,1,1,1,22,12,16,11,7,10,2,3,8,1,5,3,5,5,2,2
527,0,1,1,25,16,15,15,11,15,3,3,7,3,1,4,35,9,3,6
697,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
368,0,1,1,26,9,8,3,4,5,2,5,3,4,0,4,1,1,2,4
245,1,1,1,22,3,3,5,5,5,4,0,4,0,2,6,2,7,4,4
6,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
236,0,1,1,31,16,14,8,16,31,6,6,7,4,1,3,1,6,5,3
414,1,1,1,26,11,14,3,1,1,11,6,2,6,4,4,1,5,0,2
416,1,1,1,38,16,12,6,3,6,14,10,4,10,7,5,6,6,2,3
187,1,1,1,7,1,3,0,0,2,1,0,0,0,2,1,0,1,0,0
35,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
355,0,1,1,12,2,1,1,2,1,2,0,3,0,0,3,0,4,0,1
280,1,1,1,21,7,9,1,6,12,4,4,3,4,13,1,0,4,3,2
680,0,1,1,186,101,119,99,89,75,13,49,62,36,28,9,111,27,29,24
618,1,1,1,83,43,53,28,23,35,13,11,24,9,16,10,27,27,20,11
483,1,1,1,18,6,1,1,0,4,3,1,0,1,2,3,0,4,0,2
549,0,1,1,86,34,53,23,26,46,24,28,21,23,25,8,16,23,16,12
383,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
587,1,1,1,8,4,7,5,7,7,2,3,4,2,0,1,1,6,2,1
707,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
208,0,1,1,14,5,1,3,2,0,4,1,0,1,1,3,1,2,1,0
699,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
494,0,1,1,70,27,34,8,55,42,12,13,30,12,33,6,23,12,10,14
254,1,1,1,79,29,34,10,21,27,13,12,16,10,35,4,5,13,9,11
516,0,1,1,51,17,27,19,7,11,4,4,9,3,3,10,8,14,6,3
518,0,1,1,54,21,37,17,10,10,4,4,14,3,3,11,10,12,7,3
273,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
206,1,1,1,8,4,0,3,0,0,3,1,0,1,0,0,0,1,0,0
203,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
352,1,1,1,5,3,2,1,0,0,0,0,1,0,0,2,1,1,0,0
51,1,1,1,6,3,1,1,0,1,0,3,0,3,0,1,2,0,1,2
539,0,1,1,61,28,45,13,22,12,14,13,16,12,13,8,6,6,5,5
96,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
634,1,1,1,138,69,107,45,36,69,14,44,36,30,43,13,32,31,21,9
83,0,1,1,13,2,4,1,2,4,1,3,2,3,0,4,0,2,2,0
59,0,1,1,1,1,2,0,1,0,0,0,1,0,0,0,0,1,0,0
313,0,1,1,49,17,22,6,9,10,11,26,7,24,4,6,4,1,6,6
212,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
427,1,1,1,5,3,0,0,2,1,1,1,1,1,1,1,0,0,1,1
310,1,1,1,14,1,4,1,4,5,2,4,2,4,2,3,0,1,2,1
9,0,1,1,9,2,2,0,0,1,2,2,0,2,0,3,0,0,0,1
702,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
472,1,1,1,57,30,18,6,16,6,7,7,8,5,16,7,10,9,11,9
24,1,1,1,3,3,0,0,1,2,1,1,1,1,0,1,0,0,0,2
272,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
306,0,1,1,2,0,0,0,0,1,0,1,0,0,1,2,0,0,1,0
340,0,1,1,49,17,15,10,7,6,13,16,5,16,3,9,3,9,5,8
538,0,1,1,36,18,23,6,34,22,5,2,21,2,11,2,8,12,2,8
43,0,1,1,38,14,3,7,5,1,8,5,4,5,1,9,1,3,2,5
551,1,1,1,103,48,80,44,56,58,24,32,40,24,28,12,33,31,20,13
596,0,1,1,13,9,7,8,8,11,0,1,13,1,2,3,1,4,6,1
55,0,1,1,29,15,11,4,9,8,7,9,5,9,2,9,1,5,3,4
2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,1,1,1,30,13,10,6,7,6,5,4,4,3,2,4,4,3,4,2
602,1,1,1,81,44,60,21,55,54,13,17,32,15,13,14,21,19,18,11
196,1,1,1,19,6,4,4,1,2,3,1,2,1,5,3,1,3,0,1
39,1,1,1,17,10,3,2,2,2,3,3,4,2,1,2,0,2,0,2
499,1,1,1,50,25,42,32,33,22,5,7,21,6,4,5,43,19,8,11
450,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
150,0,1,1,32,12,10,2,4,9,6,5,4,5,4,7,1,4,0,2
229,1,1,1,64,37,28,10,11,13,16,15,12,12,24,4,10,16,7,8
176,0,1,1,15,6,1,1,0,0,1,0,0,0,3,2,1,8,0,2
689,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
255,1,1,1,87,34,37,13,35,42,16,15,22,12,45,4,4,14,9,12
5,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
506,0,1,1,45,29,34,13,37,40,5,5,14,4,19,4,9,11,7,6
577,0,1,1,100,42,54,28,53,62,8,19,32,16,10,18,15,19,6,14
179,0,1,1,17,7,3,3,1,3,3,4,0,3,4,2,0,1,0,3
457,1,1,1,40,20,15,1,22,18,13,13,14,9,14,3,4,9,6,5
533,1,1,1,32,18,14,18,11,22,0,1,8,1,6,2,8,11,4,4
606,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,1,1,1,47,26,32,7,4,8,13,17,3,15,6,8,3,6,3,5
155,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
537,0,1,1,34,15,23,7,31,22,6,2,19,2,12,4,4,10,3,7
220,1,1,1,105,53,53,28,15,25,15,44,14,38,16,11,9,7,17,15
557,1,1,1,44,26,37,18,54,27,3,3,32,3,6,6,44,12,10,8
525,1,1,1,22,12,14,11,4,9,2,1,4,1,1,3,27,9,2,5
145,1,1,1,11,4,6,4,3,0,3,4,1,4,0,5,2,0,1,2
124,1,1,1,8,8,4,0,5,7,2,2,3,2,2,3,0,0,2,1
485,0,1,1,22,6,2,0,0,1,4,1,0,1,2,3,1,5,0,4
133,1,1,1,67,31,7,4,7,3,14,27,5,25,19,14,1,3,9,9
586,0,1,1,8,4,5,2,8,5,2,2,5,2,0,1,1,6,3,1
521,1,1,1,43,15,14,5,16,12,13,7,8,6,7,3,8,12,2,5
612,0,1,1,4,2,9,3,10,4,2,0,7,0,3,0,3,1,2,1
137,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
563,1,1,1,70,39,63,32,71,48,13,11,58,10,21,8,40,17,14,20
594,0,1,1,65,36,40,23,32,47,9,5,24,5,12,8,13,23,12,9
581,1,1,1,12,7,5,3,9,10,0,4,8,3,1,2,2,3,0,1
125,1,1,1,9,8,6,0,6,7,2,2,3,2,1,3,0,0,1,2
422,0,1,1,31,13,18,6,12,33,12,6,5,6,4,3,1,5,5,6
331,0,1,1,69,31,9,6,3,5,5,25,3,23,19,7,4,7,4,10
319,0,1,1,26,15,4,1,4,4,5,3,1,2,2,4,1,4,0,2
490,1,1,1,34,20,14,7,20,13,3,6,19,5,12,3,6,5,13,6
584,0,1,1,14,11,9,4,15,14,0,4,7,4,3,3,2,4,0,1
681,0,1,1,191,96,138,108,88,75,14,44,64,33,27,8,127,27,28,25
278,1,1,1,15,2,5,1,4,6,3,0,2,0,11,1,0,2,4,2
312,0,1,1,48,18,22,5,6,10,8,21,7,21,4,8,4,1,8,3
105,0,1,1,9,5,0,0,2,0,1,2,2,2,1,6,1,0,0,2
324,1,1,1,8,3,0,0,0,0,1,0,0,0,0,0,0,3,0,1
644,0,1,1,74,35,62,32,48,28,16,10,31,9,12,10,22,15,12,8
655,1,1,1,46,14,28,9,39,56,6,5,28,4,21,6,5,15,9,6
156,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
232,0,1,1,91,53,33,12,23,21,17,20,17,19,30,7,10,22,10,15
554,1,1,1,32,21,22,15,21,16,3,3,12,3,5,5,17,5,6,4
361,0,1,1,9,4,0,1,0,1,5,2,0,2,0,1,1,0,0,2
274,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
358,1,1,1,5,1,1,0,0,1,0,0,1,0,0,0,0,2,1,1
153,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
34,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
452,0,1,1,204,106,79,27,22,8,35,90,12,85,45,16,14,10,11,25
266,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
590,0,0,1,44,22,28,16,9,29,6,1,13,1,5,6,5,16,7,7
50,0,0,0,2,1,0,0,0,0,0,2,0,2,0,0,0,0,0,1
543,0,0,0,79,37,70,27,43,26,13,16,23,14,14,8,25,12,7,12
99,0,0,0,6,2,1,0,0,0,1,0,0,0,1,3,0,0,0,1
439,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
218,0,0,0,10,1,2,0,0,0,3,0,0,0,0,0,0,3,1,1
637,0,0,0,154,87,138,62,58,105,16,54,62,37,48,17,58,35,24,11
679,0,0,0,182,90,119,84,73,70,12,45,67,36,25,7,94,24,26,22
21,0,0,0,2,2,1,0,1,1,1,1,1,1,0,1,0,0,0,1
652,0,0,0,61,28,39,20,32,29,8,7,20,7,8,10,27,19,1,4
676,0,0,0,15,8,7,14,11,6,2,2,3,2,1,3,2,2,5,1
559,0,0,0,49,25,31,17,27,18,13,7,23,6,10,6,24,7,11,12
583,0,0,1,15,12,9,3,14,17,0,3,6,3,2,3,1,5,0,1
23,0,0,0,2,1,2,0,1,2,0,0,1,0,0,1,0,0,0,2
294,0,0,1,68,21,20,11,12,13,24,10,5,9,9,12,5,15,4,13
367,0,0,1,24,9,9,2,3,3,2,4,4,4,1,4,1,0,1,2
