,year,zipcode,gentrifying_pct_chg_income_homeval_educ,gentrifying_no_longer_eligible,gentrifying_pct_chg_income_homeval,gentrifying_pct_chg_homeval
21279,2013,1013,1,0,1,1
22432,2014,1013,0,0,0,1
24504,2015,1013,0,0,0,1
26604,2016,1013,0,0,0,1
28851,2017,1013,0,0,0,1
25404,2013,1020,1,0,1,1
26666,2014,1020,0,0,1,1
9268,2015,1022,0,0,0,1
11925,2017,1022,0,0,0,1
25416,2013,1040,0,0,0,1
26780,2014,1040,1,0,1,1
28398,2015,1040,0,0,1,1
30507,2016,1040,1,0,1,1
32159,2017,1040,0,0,0,0
25033,2014,1080,0,0,1,1
27167,2015,1080,0,0,0,1
29617,2016,1080,0,0,1,1
30643,2017,1080,0,0,0,0
33964,2015,1081,0,0,0,1
36470,2016,1081,0,0,0,1
39012,2017,1081,0,0,0,1
29530,2013,1082,0,0,0,0
31133,2014,1082,0,0,0,0
33206,2015,1082,0,0,0,0
35443,2016,1082,1,0,1,1
37544,2017,1082,0,0,0,1
32830,2013,1083,0,0,0,0
34336,2014,1083,0,0,0,0
37499,2015,1083,0,0,1,1
39979,2016,1083,1,0,1,1
41840,2017,1083,0,0,0,0
9562,2013,1104,0,0,0,1
10882,2014,1104,0,0,0,1
12775,2015,1104,0,0,0,1
15176,2016,1104,0,0,0,1
16282,2017,1104,0,0,0,0
13422,2013,1107,1,0,1,1
14408,2014,1107,0,0,0,0
16146,2015,1107,0,0,0,1
18837,2016,1107,1,0,1,1
20473,2017,1107,1,0,1,1
16039,2013,1108,0,0,0,1
17214,2014,1108,0,0,1,1
18766,2015,1108,0,0,0,1
21316,2016,1108,0,0,1,1
23521,2017,1108,0,0,1,1
8661,2013,1109,1,0,1,1
9583,2014,1109,0,0,0,1
10540,2015,1109,0,0,0,0
11376,2016,1109,0,0,0,0
12683,2017,1109,0,0,0,0
16661,2013,1119,0,0,0,1
17957,2014,1119,1,0,1,1
19378,2015,1119,0,0,1,1
21205,2016,1119,1,0,1,1
23471,2017,1119,0,0,0,1
10627,2013,1151,0,0,0,1
11576,2014,1151,1,0,1,1
12214,2015,1151,0,0,0,0
13659,2016,1151,1,0,1,1
15432,2017,1151,0,0,1,1
21836,2013,1201,0,0,0,0
22633,2014,1201,0,0,0,0
23465,2015,1201,0,0,0,0
24596,2016,1201,0,0,0,1
27059,2017,1201,0,0,0,1
16579,2013,1220,0,0,0,1
17406,2014,1220,0,0,0,0
18395,2015,1220,0,0,0,0
19476,2016,1220,0,0,1,1
22187,2017,1220,0,0,0,1
13332,2013,1247,0,0,0,0
14700,2014,1247,0,0,0,1
15391,2015,1247,0,0,0,0
16260,2016,1247,0,0,0,0
17925,2017,1247,0,0,0,0
19936,2013,1331,1,0,1,1
22447,2014,1331,1,0,1,1
26527,2015,1331,1,0,1,1
30362,2016,1331,0,0,0,1
33210,2017,1331,0,0,1,1
16197,2013,1364,0,0,0,0
17294,2014,1364,0,0,0,0
18689,2015,1364,0,0,0,0
21630,2016,1364,0,0,0,1
25277,2017,1364,1,0,1,1
39967,2013,1368,0,0,0,0
41805,2014,1368,0,0,0,0
44879,2015,1368,0,0,0,1
20410,2013,1376,1,0,1,1
27218,2016,1376,0,0,0,1
29674,2017,1376,1,0,1,1
35243,2013,1420,0,0,0,1
37718,2014,1420,0,0,0,0
40838,2015,1420,1,0,1,1
44139,2016,1420,0,0,1,1
46687,2017,1420,0,0,0,1
57752,2015,1432,0,0,0,0
59316,2016,1432,0,0,1,1
60816,2017,1432,0,0,0,1
32768,2013,1440,0,0,1,1
36436,2014,1440,0,0,0,1
38840,2015,1440,0,0,0,0
40502,2016,1440,0,0,0,0
42061,2017,1440,0,0,0,0
44781,2013,1453,1,0,1,1
46863,2014,1453,0,0,0,0
48853,2015,1453,0,0,0,0
51022,2016,1453,0,0,0,1
52933,2017,1453,0,0,0,1
55784,2013,1464,0,0,0,0
57016,2014,1464,0,0,0,0
58551,2015,1464,1,0,1,1
60470,2016,1464,0,0,0,1
61551,2017,1464,0,0,0,1
38197,2013,1468,0,0,0,0
43183,2015,1468,0,0,0,0
45995,2016,1468,0,0,0,1
34964,2013,1475,0,0,0,0
37471,2014,1475,0,0,0,0
