year,zipcode,gentrifying_pct_chg_income_homeval_educ,gentrifying_pct_chg_income_homeval,gentrifying_pct_chg_homeval,key
2013,10130,1,1,1,2013_10130
2014,10130,0,0,1,2014_10130
2015,10130,0,0,1,2015_10130
2016,10130,0,0,1,2016_10130
2017,10130,0,0,1,2017_10130
2013,10200,1,1,1,2013_10200
2014,10200,0,1,1,2014_10200
2015,10220,0,0,1,2015_10220
2017,10220,0,0,1,2017_10220
2013,10400,0,0,1,2013_10400
2014,10400,1,1,1,2014_10400
2015,10400,0,1,1,2015_10400
2016,10400,1,1,1,2016_10400
2017,10400,0,0,0,2017_10400
2014,10800,0,1,1,2014_10800
2015,10800,0,0,1,2015_10800
2016,10800,0,1,1,2016_10800
2017,10800,0,0,0,2017_10800
2015,10810,0,0,1,2015_10810
2016,10810,0,0,1,2016_10810
2017,10810,0,0,1,2017_10810
2013,10820,0,0,0,2013_10820
2014,10820,0,0,0,2014_10820
2015,10820,0,0,0,2015_10820
2016,10820,1,1,1,2016_10820
2017,10820,0,0,1,2017_10820
2013,10830,0,0,0,2013_10830
2014,10830,0,0,0,2014_10830
2015,10830,0,1,1,2015_10830
2016,10830,1,1,1,2016_10830
2017,10830,0,0,0,2017_10830
2013,11040,0,0,1,2013_11040
2014,11040,0,0,1,2014_11040
2015,11040,0,0,1,2015_11040
2016,11040,0,0,1,2016_11040
2017,11040,0,0,0,2017_11040
2013,11070,1,1,1,2013_11070
2014,11070,0,0,0,2014_11070
2015,11070,0,0,1,2015_11070
2016,11070,1,1,1,2016_11070
2017,11070,1,1,1,2017_11070
2013,11080,0,0,1,2013_11080
2014,11080,0,1,1,2014_11080
2015,11080,0,0,1,2015_11080
2016,11080,0,1,1,2016_11080
2017,11080,0,1,1,2017_11080
2013,11090,1,1,1,2013_11090
2014,11090,0,0,1,2014_11090
2015,11090,0,0,0,2015_11090
2016,11090,0,0,0,2016_11090
2017,11090,0,0,0,2017_11090
2013,11190,0,0,1,2013_11190
2014,11190,1,1,1,2014_11190
2015,11190,0,1,1,2015_11190
2016,11190,1,1,1,2016_11190
2017,11190,0,0,1,2017_11190
2013,11510,0,0,1,2013_11510
2014,11510,1,1,1,2014_11510
2015,11510,0,0,0,2015_11510
2016,11510,1,1,1,2016_11510
2017,11510,0,1,1,2017_11510
2013,12010,0,0,0,2013_12010
2014,12010,0,0,0,2014_12010
2015,12010,0,0,0,2015_12010
2016,12010,0,0,1,2016_12010
2017,12010,0,0,1,2017_12010
2013,12200,0,0,1,2013_12200
2014,12200,0,0,0,2014_12200
2015,12200,0,0,0,2015_12200
2016,12200,0,1,1,2016_12200
2017,12200,0,0,1,2017_12200
2013,12470,0,0,0,2013_12470
2014,12470,0,0,1,2014_12470
2015,12470,0,0,0,2015_12470
2016,12470,0,0,0,2016_12470
2017,12470,0,0,0,2017_12470
2013,13310,1,1,1,2013_13310
2014,13310,1,1,1,2014_13310
2015,13310,1,1,1,2015_13310
2016,13310,0,0,1,2016_13310
2017,13310,0,1,1,2017_13310
2013,13640,0,0,0,2013_13640
2014,13640,0,0,0,2014_13640
2015,13640,0,0,0,2015_13640
2016,13640,0,0,1,2016_13640
2017,13640,1,1,1,2017_13640
2013,13680,0,0,0,2013_13680
2014,13680,0,0,0,2014_13680
2015,13680,0,0,1,2015_13680
2013,13760,1,1,1,2013_13760
2016,13760,0,0,1,2016_13760
2017,13760,1,1,1,2017_13760
2013,14200,0,0,1,2013_14200
2014,14200,0,0,0,2014_14200
2015,14200,1,1,1,2015_14200
2016,14200,0,1,1,2016_14200
2017,14200,0,0,1,2017_14200
2015,14320,0,0,0,2015_14320
2016,14320,0,1,1,2016_14320
2017,14320,0,0,1,2017_14320
2013,14400,0,1,1,2013_14400
2014,14400,0,0,1,2014_14400
2015,14400,0,0,0,2015_14400
2016,14400,0,0,0,2016_14400
2017,14400,0,0,0,2017_14400
2013,14530,1,1,1,2013_14530
2014,14530,0,0,0,2014_14530
2015,14530,0,0,0,2015_14530
2016,14530,0,0,1,2016_14530
2017,14530,0,0,1,2017_14530
2013,14640,0,0,0,2013_14640
2014,14640,0,0,0,2014_14640
2015,14640,1,1,1,2015_14640
2016,14640,0,0,1,2016_14640
