,Unnamed: 0,year,zipcode,gentrifying_pct_chg_income_homeval_educ,gentrifying_no_longer_eligible,gentrifying_pct_chg_income_homeval,gentrifying_pct_chg_homeval,key
0,21279,2013,1013,1,0,1,1,2013_10130
1,22432,2014,1013,0,0,0,1,2014_10130
2,24504,2015,1013,0,0,0,1,2015_10130
3,26604,2016,1013,0,0,0,1,2016_10130
4,28851,2017,1013,0,0,0,1,2017_10130
5,25404,2013,1020,1,0,1,1,2013_10200
6,26666,2014,1020,0,0,1,1,2014_10200
7,9268,2015,1022,0,0,0,1,2015_10220
8,11925,2017,1022,0,0,0,1,2017_10220
9,25416,2013,1040,0,0,0,1,2013_10400
10,26780,2014,1040,1,0,1,1,2014_10400
11,28398,2015,1040,0,0,1,1,2015_10400
12,30507,2016,1040,1,0,1,1,2016_10400
13,32159,2017,1040,0,0,0,0,2017_10400
14,25033,2014,1080,0,0,1,1,2014_10800
15,27167,2015,1080,0,0,0,1,2015_10800
16,29617,2016,1080,0,0,1,1,2016_10800
17,30643,2017,1080,0,0,0,0,2017_10800
18,33964,2015,1081,0,0,0,1,2015_10810
19,36470,2016,1081,0,0,0,1,2016_10810
20,39012,2017,1081,0,0,0,1,2017_10810
21,29530,2013,1082,0,0,0,0,2013_10820
22,31133,2014,1082,0,0,0,0,2014_10820
23,33206,2015,1082,0,0,0,0,2015_10820
24,35443,2016,1082,1,0,1,1,2016_10820
25,37544,2017,1082,0,0,0,1,2017_10820
26,32830,2013,1083,0,0,0,0,2013_10830
27,34336,2014,1083,0,0,0,0,2014_10830
28,37499,2015,1083,0,0,1,1,2015_10830
29,39979,2016,1083,1,0,1,1,2016_10830
30,41840,2017,1083,0,0,0,0,2017_10830
31,9562,2013,1104,0,0,0,1,2013_11040
32,10882,2014,1104,0,0,0,1,2014_11040
33,12775,2015,1104,0,0,0,1,2015_11040
34,15176,2016,1104,0,0,0,1,2016_11040
35,16282,2017,1104,0,0,0,0,2017_11040
36,13422,2013,1107,1,0,1,1,2013_11070
37,14408,2014,1107,0,0,0,0,2014_11070
38,16146,2015,1107,0,0,0,1,2015_11070
39,18837,2016,1107,1,0,1,1,2016_11070
40,20473,2017,1107,1,0,1,1,2017_11070
41,16039,2013,1108,0,0,0,1,2013_11080
42,17214,2014,1108,0,0,1,1,2014_11080
43,18766,2015,1108,0,0,0,1,2015_11080
44,21316,2016,1108,0,0,1,1,2016_11080
45,23521,2017,1108,0,0,1,1,2017_11080
46,8661,2013,1109,1,0,1,1,2013_11090
47,9583,2014,1109,0,0,0,1,2014_11090
48,10540,2015,1109,0,0,0,0,2015_11090
49,11376,2016,1109,0,0,0,0,2016_11090
50,12683,2017,1109,0,0,0,0,2017_11090
51,16661,2013,1119,0,0,0,1,2013_11190
52,17957,2014,1119,1,0,1,1,2014_11190
53,19378,2015,1119,0,0,1,1,2015_11190
54,21205,2016,1119,1,0,1,1,2016_11190
55,23471,2017,1119,0,0,0,1,2017_11190
56,10627,2013,1151,0,0,0,1,2013_11510
57,11576,2014,1151,1,0,1,1,2014_11510
58,12214,2015,1151,0,0,0,0,2015_11510
59,13659,2016,1151,1,0,1,1,2016_11510
60,15432,2017,1151,0,0,1,1,2017_11510
