year,zipcode,gentrifying_pct_chg_income_homeval_educ,gentrifying_pct_chg_income_homeval,gentrifying_pct_chg_homeval
2013,45133,0,0,0
2013,79556,0,0,1
2013,46001,1,1,1
2013,44312,0,0,1
2013,96021,0,0,0
2013,39194,0,1,1
2013,45106,0,0,1
2013,37160,0,1,1
2013,45365,0,0,1
2013,27320,0,0,0
2013,28170,0,0,0
2013,19720,0,0,0
2013,77833,0,0,1
2013,32640,0,0,1
2013,22827,0,0,0
2013,29440,0,1,1
2013,43701,0,1,1
2013,28334,0,0,1
2013,75119,0,0,0
2013,29069,0,0,0
2013,48849,0,1,1
2013,63136,0,0,0
2013,98271,0,0,0
2013,56093,0,0,0
2013,98951,0,0,0
2013,27320,0,0,0
2013,13021,0,0,1
2013,22827,0,0,0
2013,70570,0,0,1
2013,35115,0,1,1
2013,45365,0,0,1
2013,21853,0,0,1
2013,28334,0,0,1
2013,30228,1,1,1
2013,60146,0,0,0
2013,44870,0,0,0
2013,15650,0,0,0
2013,63020,0,0,0
2013,19464,1,1,1
2013,95965,0,0,0
2013,19720,0,0,0
2013,29720,1,1,1
2013,28334,0,0,1
2013,33161,0,0,1
2013,44833,0,1,1
2013,95490,0,0,1
2013,53963,0,0,0
2013,48850,0,0,1
2013,12550,0,1,1
2013,72104,0,0,0
2013,72104,0,0,0
2013,38068,0,0,0
2013,68025,1,1,1
2013,28170,0,0,0
2013,70570,0,0,1
2013,75220,0,0,0
2013,49221,0,0,0
2013,13339,0,0,1
2013,68025,1,1,1
2013,72104,0,0,0
2013,30228,1,1,1
2013,61866,0,0,0
2013,38068,0,0,0
2013,30828,0,0,1
2013,18661,0,0,1
2013,69101,0,0,0
2013,43420,0,0,0
2013,97386,0,0,1
2013,15656,0,0,0
2013,46714,0,0,0
2013,46001,1,1,1
2013,27874,0,0,0
2013,50158,0,0,0
2013,95020,0,0,0
2013,15401,0,0,0
2013,46714,0,0,0
2013,44312,0,0,1
2013,30228,1,1,1
2013,29532,0,0,0
2013,37345,0,1,1
2013,48809,0,0,1
2013,32440,1,1,1
2013,43521,0,0,1
2013,84015,0,1,1
2013,37345,0,1,1
2013,34266,0,0,0
2013,61866,0,0,0
2013,46001,1,1,1
2013,44254,0,0,1
2013,34142,0,0,0
2013,69101,0,0,0
2013,19720,0,0,0
2013,22827,0,0,0
2013,14489,1,1,1
2013,15650,0,0,0
2013,60960,1,1,1
2013,78559,0,0,1
2013,44312,0,0,1
2013,14590,0,0,1
2013,19464,1,1,1
2013,33880,0,0,1
2013,77833,0,0,1
2013,14489,1,1,1
2013,85132,0,0,0
2013,29720,1,1,1
2013,85132,0,0,0
2013,21601,0,0,0
2013,85132,0,0,0
2013,68025,1,1,1
2013,28334,0,0,1
2013,68025,1,1,1
2013,15650,0,0,0
2013,12754,0,0,0
2013,60936,0,0,1
2013,29720,1,1,1
2013,30286,0,0,0
2013,19720,0,0,0
2013,44312,0,0,1
2013,38382,0,0,0
2013,44254,0,0,1
2013,30228,1,1,1
2013,28092,1,1,1
2013,21601,0,0,0
2013,28334,0,0,1
2013,37110,0,0,0
2013,93618,0,0,0
2013,22655,0,0,0
2013,32440,1,1,1
2013,93307,1,1,1
2013,28334,0,0,1
2013,37160,0,1,1
2013,49221,0,0,0
2013,19114,1,1,1
2013,53963,0,0,0
2013,14513,0,0,1
2013,77833,0,0,1
2013,27886,0,1,1
2013,12010,1,1,1
2013,12010,0,0,0
2013,36507,1,1,1
2013,30286,0,0,0
2013,29069,0,0,0
2013,50158,0,0,0
2013,14513,0,0,1
2013,12010,1,1,1
2013,12010,0,0,0
2013,29745,0,0,0
2013,27886,0,1,1
2013,79331,0,0,1
2013,20784,0,0,0
2013,28334,0,0,1
2013,28092,1,1,1
2013,15650,0,0,0
2013,27886,0,1,1
2013,12010,1,1,1
2013,12010,0,0,0
2013,45231,0,0,1
2013,29532,0,0,0
2013,36507,1,1,1
2013,95076,0,0,0
2013,14489,1,1,1
2013,44312,0,0,1
2013,49221,0,0,0
2013,95965,0,0,0
2013,29569,0,0,1
2013,12010,1,1,1
2013,12010,0,0,0
2013,36507,1,1,1
2013,22701,0,0,1
2013,37160,0,1,1
2013,45882,0,0,1
2013,85132,0,0,0
2013,85132,0,0,0
2013,74436,0,0,0
2013,12010,1,1,1
2013,12010,0,0,0
2013,72104,0,0,0
2013,42718,0,0,0
2013,27574,0,0,1
2013,30286,0,0,0
2013,95965,0,0,0
2013,96021,0,0,0
2013,43420,0,0,0
2013,28164,0,0,1
2013,22657,0,0,0
2013,38057,0,0,0
2013,62702,0,0,1
2013,38057,0,0,0
2013,21853,0,0,1
2013,54751,0,0,0
2013,27886,0,1,1
2013,29569,0,0,1
2013,42718,0,0,0
2013,21601,0,0,0
2013,93622,0,0,0
2013,46714,0,0,0
2013,49224,0,0,1
2013,44833,0,1,1
2013,77833,0,0,1
2013,74023,0,0,0
2013,33462,1,1,1
2013,37345,0,1,1
2013,30228,1,1,1
2013,72104,0,0,0
2013,35954,0,0,0
2013,93930,0,0,0
2013,29440,0,1,1
2013,20784,0,0,0
2013,70570,0,0,1
2013,93622,0,0,0
2013,77833,0,0,1
2013,49274,0,0,0
2013,33311,1,1,1
2013,29440,0,1,1
2013,19720,0,0,0
2013,37650,0,0,1
2013,73082,0,0,1
2013,43113,0,1,1
2013,43701,0,1,1
2013,70570,0,0,1
2013,79556,0,0,1
2013,47170,1,1,1
2013,60098,0,0,0
2013,55414,0,1,1
2013,98812,0,0,0
2013,44833,0,1,1
2013,82007,0,0,0
2013,15650,0,0,0
2013,97756,0,0,0
2013,89119,0,0,0
2013,35115,0,1,1
2013,49221,0,0,0
2013,31030,0,0,0
2013,31030,0,0,1
2013,53809,0,0,1
2013,46767,0,0,0
2013,53105,1,1,1
2013,17257,1,1,1
2013,93247,0,0,1
2013,61866,0,0,0
2013,79556,0,0,1
2013,77833,0,0,1
2013,29745,0,0,0
2013,27320,0,0,0
2013,46714,0,0,0
2013,30228,1,1,1
2013,93662,0,0,0
2013,27704,0,0,0
2013,93662,0,0,0
2013,24236,0,0,0
2013,12010,1,1,1
2013,12010,0,0,0
2013,93618,0,0,0
2013,77833,0,0,1
2013,48846,0,1,1
2013,13045,0,0,0
2013,95020,0,0,0
2013,29645,0,0,0
2013,12550,0,1,1
2013,40213,0,0,1
2013,21601,0,0,0
2013,74437,0,0,0
2013,14513,0,0,1
2013,70427,0,0,0
2013,30828,0,0,1
2013,29532,0,0,0
2013,29440,0,1,1
2013,49221,0,0,0
2013,95020,0,0,0
2013,30286,0,0,0
2013,44312,0,0,1
2013,95076,0,0,0
2013,38068,0,0,0
2013,93622,0,0,0
2013,98531,0,1,1
2013,29702,0,0,0
2013,30228,1,1,1
2013,29745,0,0,0
2013,93662,0,0,0
2013,27320,0,0,0
2013,79556,0,0,1
2013,21851,0,0,1
2013,29702,0,0,0
2013,29745,0,0,0
2013,13021,0,0,1
2013,70360,0,0,0
2013,53220,0,0,1
2013,77833,0,0,1
2013,29440,0,1,1
2013,45356,0,1,1
2013,98568,0,0,1
2013,56482,0,1,1
2013,27703,0,0,0
2013,57078,0,0,1
2013,60936,0,0,1
2013,73082,0,0,1
2013,13642,0,0,0
2013,29702,0,0,0
2013,28607,0,0,0
2013,22701,0,0,1
2013,45356,0,1,1
2013,14513,0,0,1
2013,45365,0,0,1
2013,61866,0,0,0
2013,13642,0,0,0
2013,13069,0,0,0
2013,36522,0,0,0
2013,36507,1,1,1
2013,12754,0,0,0
2013,44312,0,0,1
2013,30286,0,0,0
2013,37650,0,0,1
2013,35115,0,1,1
2013,46001,1,1,1
2013,19720,0,0,0
2013,63136,0,0,0
2013,22701,0,0,1
2013,68025,1,1,1
2013,93930,0,0,0
2013,12758,0,0,0
2013,15650,0,0,0
2013,38462,0,0,0
2013,30228,1,1,1
2013,30228,1,1,1
2013,54017,0,0,1
2013,24066,0,0,0
2013,32440,1,1,1
2013,14489,1,1,1
2013,93662,0,0,0
2013,43777,0,1,1
2013,77833,0,0,1
2013,15666,1,1,1
2013,49442,0,0,0
2013,13642,0,0,0
2013,49849,0,0,1
2013,29720,1,1,1
2013,19464,1,1,1
2013,79556,0,0,1
